name,brand,rating_count,total_reviews,rating_value,price,seller_name,seller_location,seller_store_link
"Second Hand Refurbished Oppo F5 (6GB RAM, 128GB Storage)- Superb Condition, Like New",Oppo,0,0,0,6999,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Second Hand (Refurbished) Vivo Y85 (6 GB RAM, 128 GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"PEAR P500 (Single Sim, 3000mAh Battery, 1.8 Inch, Display, LIGHT BLUE)",Pear,0,0,0,1499,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"Second Hand (Refurbished) Vivo Y85 (Black, 6 GB RAM, 128 GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
"MTR M7 (Dual SIM, 1.44 Inch Display, 1100 mAh Battery)",MTR,1,0,4,1140,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR M1900+ (Green, Black)",MTR,0,0,0,1000,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR NEO (Dual Sim, 1.8 Inch Display, 1100 mAh Battery, Blue)",MTR,2,0,4.5,739,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
MUphone M3000 Coffee,MUPHONE,1,0,5,1599,Radhekrishan Enterprise,"Delhi , Delhi",http://radhekrishan-enterprise.shopclues.com
"MTR MT322 (Black, Orange)",MTR,0,0,0,819,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Realme Narzo 10A (3 GB RAM, 32 GB Storage, So White) - Superb Condition, Like New",Realme,0,0,0,7999,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"MTR M312 DUAL SIM, FULL MULTIMEDIA WITH BRIGHT TORCH, 800 MAH BATTERY,BIG SOUND, AUTO CALL RECORD, MOBILE PHONE",MTR,1,0,5,759,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"KECHAODA K116 (Dual SIM, 1.8 Inch Display, 400mAh Battery, Power Silver)",Kechaoda,2,0,3.5,1200,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Redmi 10 (4 GB RAM, 64 GB Storage, Caribbean Green) - Superb Condition, Like New",Redmi,0,0,0,8599,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished)  Redmi 9A (Blue, 6 GB RAM, 128 GB Storage) - Superb Condition, Like New",Redmi,0,0,0,8999,SCSuperClone22,"Gurgaon , Haryana",http://scsuperclone22.shopclues.com
"Second Hand (Refurbished) Vivo Y71 (Y71A) (4 GB RAM, 64 GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6700,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Vivo Y93 (6GB RAM, 128GB Storage) - Superb Condition, Like New",Vivo,0,0,0,6999,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) APPLE iPhone 7 Plus (128 GB) - Superb Condition, Like New",Apple,0,0,0,14999,Schedder Technology Solutions Pvt Ltd,"Gurgaon , Haryana",http://schedder-technology-solutions-pvt-ltd.shopclues.com
KARBONN K9(Black And Red),Karbonn,1,0,4,1249,brand's store,"Firozabad , Uttar Pradesh",http://brands-store-1.shopclues.com
"(Refurbished) Vivo Y93 (VIVO V1818CT) (3 GB RAM, 64 GB Storage) - Superb Condition, Like New",Vivo,0,0,0,7349,Super Clone 44,"Gurgaon , Haryana",http://super-clone-44.shopclues.com
